Drug1_CID,Drug2_CID,HSA_values,Bliss_values,Loewe_values,ZIP_values,HSA,Bliss,Loewe,ZIP,in_pharmacome
150311,4909,"[-1.3, -1.3]","[-15.99, -15.99]","[-1.3, -1.3]","[-15.99, -15.99]",-1.3,-15.99,-1.3,-15.99,yes
150311,4911,"[-7.89, -7.89]","[-21.98, -21.98]","[-7.89, -7.89]","[-21.98, -21.98]",-7.89,-21.98,-7.89,-21.98,yes
150311,4912,"[-2.48, -2.48]","[-15.65, -15.65]","[-2.49, -2.49]","[-15.65, -15.65]",-2.48,-15.65,-2.49,-15.65,yes
150311,4915,"[-7.11, -7.11]","[-21.7, -21.7]","[-7.11, -7.11]","[-21.7, -21.7]",-7.11,-21.7,-7.11,-21.7,yes
150311,5070,"[-1.81, -1.81]","[-14.93, -14.93]","[-1.81, -1.81]","[-14.93, -14.93]",-1.81,-14.93,-1.81,-14.93,yes
150311,5073,"[5.02, 5.02]","[-9.46, -9.46]","[5.01, 5.01]","[-9.46, -9.46]",5.02,-9.46,5.01,-9.46,yes
150311,51634,"[4.47, 4.47]","[-9.87, -9.87]","[4.47, 4.47]","[-9.87, -9.87]",4.47,-9.87,4.47,-9.87,yes
150311,5281081,"[7.61, 7.61]","[-6.06, -6.06]","[7.61, 7.61]","[-6.06, -6.06]",7.61,-6.06,7.61,-6.06,yes
150311,5284513,"[9.64, 9.64]","[0.54, 0.54]","[9.64, 9.64]","[0.54, 0.54]",9.64,0.54,9.64,0.54,yes
150311,5284583,"[9.37, 9.37]","[-4.79, -4.79]","[9.35, 9.35]","[-4.79, -4.79]",9.37,-4.79,9.35,-4.79,yes
150311,5284592,"[-4.2, -4.2]","[-16.24, -16.24]","[-4.2, -4.2]","[-16.24, -16.24]",-4.2,-16.24,-4.2,-16.24,yes
150311,5284627,"[13.59, 13.59]","[0.16, 0.16]","[13.59, 13.59]","[0.16, 0.16]",13.59,0.16,13.59,0.16,yes
150311,5291,"[9.35, 9.35]","[8.15, 8.15]","[9.35, 9.35]","[8.15, 8.15]",9.35,8.15,9.35,8.15,yes
150311,5311,"[-64.19, -64.19]","[-64.66, -64.66]","[-64.19, -64.19]","[-64.66, -64.66]",-64.19,-64.66,-64.19,-64.66,yes
150311,5311068,"[-7.39, -7.39]","[-21.21, -21.21]","[-7.41, -7.41]","[-21.21, -21.21]",-7.39,-21.21,-7.41,-21.21,yes
150311,5311181,"[-6.77, -6.77]","[-21.39, -21.39]","[-6.79, -6.79]","[-21.39, -21.39]",-6.77,-21.39,-6.79,-21.39,yes
150311,5311309,"[-10.68, -10.68]","[-25.18, -25.18]","[-10.7, -10.7]","[-25.18, -25.18]",-10.68,-25.18,-10.7,-25.18,yes
150311,5324346,"[-2.72, -2.72]","[-15.92, -15.92]","[-2.72, -2.72]","[-15.92, -15.92]",-2.72,-15.92,-2.72,-15.92,yes
150311,5329102,"[21.09, 21.09]","[8.11, 8.11]","[21.08, 21.08]","[8.11, 8.11]",21.09,8.11,21.08,8.11,yes
150311,5342,[-7.31],[-21.86],[-7.31],[-21.86],-7.31,-21.86,-7.31,-21.86,yes
150311,5358,"[-4.71, -4.71]","[-18.32, -18.32]","[-4.71, -4.71]","[-18.32, -18.32]",-4.71,-18.32,-4.71,-18.32,yes
